OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OccHU_e19,OccHU_m19,VehicAvail0_e19,VehicAvail0_m19,pVehicAvail0_e19,pVehicAvail0_m19,VehicAvail1_e19,VehicAvail1_m19,pVehicAvail1_e19,pVehicAvail1_m19,VehicAvail2_e19,VehicAvail2_m19,pVehicAvail2_e19,pVehicAvail2_m19,VehicAvail3P_e19,VehicAvail3P_m19,pVehicAvail3P_e19,pVehicAvail3P_m19,SHAPE_Length,SHAPE_Area
422,Northeast Georgia,No,30607,3468,ZCTA,ZCTA5 30607,3657,297,202,120,5.5,3.2,1006,219,27.5,5.5,1594,299,43.6,7.4,855,215,23.4,5.6,0.730138053807939,0.00910389603832897
423,ARC / GM / NE,Partial,30517,3413,ZCTA,ZCTA5 30517,5213,334,121,76,2.3,1.4,861,215,16.5,4,2395,307,45.9,5.1,1836,281,35.2,4.9,0.577352982364192,0.00714346070038243
424,Northeast Georgia,No,30609,3469,ZCTA,ZCTA5 30609,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.00999521167641778,5.90347667244378e-06
425,Northeast Georgia,No,30619,3470,ZCTA,ZCTA5 30619,533,112,17,21,3.2,3.8,170,67,31.9,10.6,210,68,39.4,9.8,136,73,25.5,12.5,0.674493636927929,0.00681144495385142
426,ARC / NE,Yes,30620,3471,ZCTA,ZCTA5 30620,4767,359,60,36,1.3,0.7,1093,226,22.9,4.4,2026,321,42.5,5.9,1588,267,33.3,5,0.668521734719414,0.00622942214947641
427,Northeast Georgia,No,30621,3472,ZCTA,ZCTA5 30621,1816,174,28,23,1.5,1.3,240,86,13.2,4.6,782,147,43.1,7,766,140,42.2,6.6,0.928617523791151,0.0124696399412837
428,Northeast Georgia,Partial,30622,3473,ZCTA,ZCTA5 30622,4720,385,240,109,5.1,2.3,1368,262,29,5,2052,303,43.5,5.3,1060,235,22.5,4.6,1.10020146704536,0.0105317841806933
429,Northeast Georgia,No,30623,3474,ZCTA,ZCTA5 30623,29,21,0,18,0,63.4,21,19,72.4,39.9,6,15,20.7,48.7,2,29,6.9,101.1,0.134180351110027,0.000545674775116151
430,GM / NE,No,30624,3475,ZCTA,ZCTA5 30624,1082,154,88,38,8.1,3.3,302,97,27.9,8,356,82,32.9,6,336,117,31.1,9.9,0.819495416371357,0.0110114367424452
431,Coastal Regional Commission,No,31312,3668,ZCTA,ZCTA5 31312,6932,356,132,81,1.9,1.2,1183,250,17.1,3.5,3112,341,44.9,4.3,2505,348,36.1,4.7,1.60846024080913,0.0397893916312222
