OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OccHU_e19,OccHU_m19,VehicAvail0_e19,VehicAvail0_m19,pVehicAvail0_e19,pVehicAvail0_m19,VehicAvail1_e19,VehicAvail1_m19,pVehicAvail1_e19,pVehicAvail1_m19,VehicAvail2_e19,VehicAvail2_m19,pVehicAvail2_e19,pVehicAvail2_m19,VehicAvail3P_e19,VehicAvail3P_m19,pVehicAvail3P_e19,pVehicAvail3P_m19,SHAPE_Length,SHAPE_Area
604,ARC / TR,Partial,30248,3287,ZCTA,ZCTA5 30248,8780,481,61,54,0.7,0.6,1707,318,19.4,3.5,4376,507,49.8,5.1,2636,423,30,4.5,1.03533509128937,0.01786221634198
605,Middle Georgia,No,31201,3650,ZCTA,ZCTA5 31201,3368,213,1199,159,35.6,4.2,1320,178,39.2,4.7,590,139,17.5,4,259,89,7.7,2.6,0.419603997698691,0.00273714874983017
606,Atlanta Regional Commission,Yes,30250,3288,ZCTA,ZCTA5 30250,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0559461279355557,6.74936807755346e-05
607,Three Rivers,No,30251,3289,ZCTA,ZCTA5 30251,880,151,94,73,10.7,8.1,229,117,26,12.5,384,126,43.6,12.2,173,91,19.7,9.7,0.539112683234795,0.00868973527865243
608,ARC / TR,Yes,30252,3290,ZCTA,ZCTA5 30252,14932,580,146,91,1,0.6,2717,497,18.2,3.3,5962,566,39.9,3.5,6107,673,40.9,4.2,1.08147135745247,0.0232372406576844
609,Atlanta Regional Commission,Yes,30253,3291,ZCTA,ZCTA5 30253,18997,622,516,176,2.7,0.9,6625,633,34.9,3.1,7606,669,40,3.3,4250,522,22.4,2.6,0.707174120732348,0.0123071354997269
610,Three Rivers,No,30256,3292,ZCTA,ZCTA5 30256,990,132,18,18,1.8,1.8,194,93,19.6,9.1,347,126,35.1,11.9,431,117,43.5,10.2,0.640451156206411,0.0086898433054233
611,Middle Georgia,No,31204,3651,ZCTA,ZCTA5 31204,11766,405,1778,287,15.1,2.4,4951,385,42.1,2.9,3272,348,27.8,2.8,1765,274,15,2.3,0.468509666019874,0.0036957492005625
612,Three Rivers,No,30257,3293,ZCTA,ZCTA5 30257,1750,236,6,17,0.3,1,488,211,27.9,11.5,578,176,33,9,678,196,38.7,9.9,0.942374602970774,0.0112702731441649
613,Three Rivers,No,30258,3294,ZCTA,ZCTA5 30258,1032,124,32,28,3.1,2.7,257,77,24.9,6.8,476,117,46.1,9.9,267,72,25.9,6.3,0.885913009844108,0.0141911110641517
614,Middle Georgia,No,31206,3652,ZCTA,ZCTA5 31206,9251,370,1696,308,18.3,3.3,3862,458,41.7,4.7,2527,371,27.3,3.9,1166,227,12.6,2.4,0.836465062346812,0.00701951498441741
615,Three Rivers,Yes,30259,3295,ZCTA,ZCTA5 30259,1191,102,59,54,5,4.5,260,89,21.8,7.2,403,105,33.8,8.3,469,109,39.4,8.5,0.575625539075837,0.00878838308622531
616,Atlanta Regional Commission,Yes,30260,3296,ZCTA,ZCTA5 30260,7991,473,684,224,8.6,2.8,2968,476,37.1,5.5,2614,414,32.7,4.8,1725,296,21.6,3.5,0.43256007718024,0.00286545206188799
617,Three Rivers,Partial,30263,3297,ZCTA,ZCTA5 30263,22337,463,1320,306,5.9,1.4,6834,695,30.6,3,8239,611,36.9,2.6,5944,623,26.6,2.7,1.46688407250832,0.0506647497991971
618,Three Rivers,Yes,30265,3298,ZCTA,ZCTA5 30265,12810,373,263,115,2.1,0.9,3376,382,26.4,2.9,5322,495,41.5,3.7,3849,459,30,3.5,0.729954853115964,0.0108577371760592
619,ARC / TR,Yes,30268,3299,ZCTA,ZCTA5 30268,3773,348,433,212,11.5,5.5,1158,269,30.7,6.5,1324,279,35.1,6.6,858,172,22.7,4,0.921278637051901,0.016709881887769
620,Atlanta Regional Commission,Yes,30269,3300,ZCTA,ZCTA5 30269,13699,318,857,207,6.3,1.5,3811,430,27.8,3.1,5467,438,39.9,3.1,3564,384,26,2.7,0.406411450042265,0.00652727004749533
621,Atlanta Regional Commission,Yes,30273,3301,ZCTA,ZCTA5 30273,5069,478,158,121,3.1,2.4,1723,396,34,7.1,1653,325,32.6,5.6,1535,513,30.3,9.7,0.277616514398068,0.00165621544280553
622,Atlanta Regional Commission,Yes,30274,3302,ZCTA,ZCTA5 30274,12815,512,1211,292,9.4,2.2,5757,564,44.9,4,3984,495,31.1,3.7,1863,314,14.5,2.4,0.475012521011199,0.00267022579162911
623,Three Rivers,Yes,30275,3303,ZCTA,ZCTA5 30275,21,33,0,18,0,87.5,21,35,100,61.9,0,18,0,87.5,0,32,0,151.6,0.039663905483832,2.69177998155874e-05
624,ARC / TR,Partial,30276,3304,ZCTA,ZCTA5 30276,5549,274,98,69,1.8,1.2,1050,215,18.9,3.8,2146,264,38.7,4.3,2255,317,40.6,5.4,1.08078327858857,0.0249428273586267
625,Three Rivers,Yes,30277,3305,ZCTA,ZCTA5 30277,8110,338,162,104,2,1.3,1277,262,15.7,3.2,3558,357,43.9,4,3113,405,38.4,4.7,0.861512861565051,0.0113512082158767
626,Atlanta Regional Commission,Yes,30281,3306,ZCTA,ZCTA5 30281,24533,781,785,277,3.2,1.1,8972,763,36.6,2.9,8861,846,36.1,3.2,5915,620,24.1,2.4,0.952626215468721,0.0179019153837955
627,Three Rivers,Yes,30284,3307,ZCTA,ZCTA5 30284,28,18,1,14,3.6,48.5,4,15,14.3,51.9,23,21,82.1,50.8,0,32,0,113.7,0.0217198827879635,2.36960050019708e-05
628,Three Rivers,No,30285,3308,ZCTA,ZCTA5 30285,268,81,0,18,0,6.9,60,51,22.4,17.7,101,64,37.7,20.8,107,68,39.9,22.1,0.533492436908009,0.00432134760615506
629,Three Rivers,No,30286,3309,ZCTA,ZCTA5 30286,8669,294,893,222,10.3,2.5,2812,379,32.4,4.2,3024,317,34.9,3.5,1940,261,22.4,2.9,1.45678731872767,0.0491046895929529
630,Atlanta Regional Commission,Yes,30288,3310,ZCTA,ZCTA5 30288,3205,356,233,134,7.3,4.1,1053,278,32.9,7.9,1076,298,33.6,8.5,843,262,26.3,7.6,0.412935547084561,0.00197927025168658
631,Three Rivers,Yes,30289,3311,ZCTA,ZCTA5 30289,16,12,0,18,0,114.9,2,14,12.5,84.5,10,11,62.5,47.1,4,30,25,185.9,0.0468315059712403,5.42269458439611e-05
632,Atlanta Regional Commission,Yes,30290,3312,ZCTA,ZCTA5 30290,3053,192,0,27,0,0.9,498,171,16.3,5.5,1424,233,46.6,7.1,1131,217,37,6.7,0.391229474604329,0.00461227761550433
633,Atlanta Regional Commission,Yes,30291,3313,ZCTA,ZCTA5 30291,8226,737,884,291,10.7,3.4,4001,781,48.6,8.4,2628,585,31.9,6.5,713,306,8.7,3.6,0.414263549548216,0.00310141297369223
634,Three Rivers,Partial,30292,3314,ZCTA,ZCTA5 30292,1774,193,36,24,2,1.4,264,89,14.9,4.8,509,125,28.7,6.3,965,199,54.4,9.5,0.786629543526531,0.01476572009139
635,Three Rivers,No,30293,3315,ZCTA,ZCTA5 30293,1111,193,139,71,12.5,6,438,131,39.4,9.6,265,95,23.9,7.5,269,115,24.2,9.5,1.28366864346782,0.0203792992590752
636,Central Savannah River Area,No,30664,3496,ZCTA,ZCTA5 30664,15,12,4,15,26.7,96.1,6,17,40,108.9,4,14,26.7,93,1,29,6.7,194.2,0.0369742503999528,7.05889335919934e-05
637,Northeast Georgia,No,30665,3497,ZCTA,ZCTA5 30665,27,14,0,18,0,68.1,16,15,59.3,45.7,4,14,14.8,49.8,7,23,25.9,85.8,0.144554247890576,0.000612854254700304
638,Northeast Georgia,Partial,30666,3498,ZCTA,ZCTA5 30666,3439,274,83,61,2.4,1.8,608,151,17.7,4.2,1582,262,46,6.7,1166,248,33.9,6.7,0.708253013954743,0.00938243070403761
639,Northeast Georgia,No,30667,3499,ZCTA,ZCTA5 30667,318,67,7,18,2.2,5.8,89,43,28,12.1,98,36,30.8,9.3,124,57,39,15.8,0.963441241146875,0.0197604026903669
640,Central Savannah River Area,No,30668,3500,ZCTA,ZCTA5 30668,766,91,90,39,11.7,4.9,196,64,25.6,7.8,224,57,29.2,6.6,256,66,33.4,7.6,1.70724779462915,0.0424140112457303
641,CSRA / NE,No,30669,3501,ZCTA,ZCTA5 30669,1284,141,102,49,7.9,3.7,399,97,31.1,6.7,382,84,29.8,5.7,401,95,31.2,6.6,1.47626041359584,0.0314212910835711
642,Central Savannah River Area,No,30673,3502,ZCTA,ZCTA5 30673,2989,164,355,104,11.9,3.4,1078,173,36.1,5.4,773,153,25.9,4.9,783,159,26.2,5.1,1.88732060888258,0.066653550431977
643,Northeast Georgia,No,30677,3503,ZCTA,ZCTA5 30677,6783,305,99,83,1.5,1.2,1158,226,17.1,3.2,3115,362,45.9,4.9,2411,343,35.5,4.8,1.63410321748365,0.0300922603687179
644,CSRA / NE,No,30678,3504,ZCTA,ZCTA5 30678,531,84,49,26,9.2,4.6,139,64,26.2,11.4,198,63,37.3,10.3,145,49,27.3,8.2,0.925682390080416,0.0182387745939101
645,Northeast Georgia,Partial,30680,3505,ZCTA,ZCTA5 30680,14828,461,584,141,3.9,0.9,3616,360,24.4,2.3,6199,380,41.8,2.2,4429,393,29.9,2.5,1.31596992722832,0.0235791026032659
646,Northeast Georgia,No,30683,3506,ZCTA,ZCTA5 30683,2713,252,110,61,4.1,2.2,762,190,28.1,6.5,1133,221,41.8,7.2,708,139,26.1,4.5,0.649159156474359,0.00999202872139219
647,Northwest Georgia,No,30701,3507,ZCTA,ZCTA5 30701,14378,499,1165,311,8.1,2.1,4320,503,30,3.3,5066,507,35.2,3.3,3827,429,26.6,2.8,1.49404711294469,0.038831849666587
648,Northwest Georgia,No,30705,3508,ZCTA,ZCTA5 30705,12081,299,506,177,4.2,1.5,2900,363,24,2.9,5062,525,41.9,4.2,3613,440,29.9,3.6,2.04999626681683,0.0612669735654686
649,Northwest Georgia,No,30707,3509,ZCTA,ZCTA5 30707,6323,360,142,98,2.2,1.5,1955,365,30.9,5.5,2404,364,38,5.3,1822,308,28.8,4.6,1.35729128697039,0.032885834654385
650,Northwest Georgia,No,30708,3510,ZCTA,ZCTA5 30708,95,66,0,18,0,19.4,16,30,16.8,29.3,58,57,61.1,42.8,21,42,22.1,41.2,0.461137087658554,0.00374381617212229
651,Northwest Georgia,No,30710,3511,ZCTA,ZCTA5 30710,2406,229,9,23,0.4,1,512,144,21.3,5.6,898,171,37.3,6.1,987,209,41,7.7,0.627503189859215,0.0121626248970883
652,Northwest Georgia,No,30711,3512,ZCTA,ZCTA5 30711,1381,132,114,67,8.3,4.8,347,110,25.1,7.6,479,125,34.7,8.4,441,144,31.9,9.9,1.1334649276983,0.0177811980693258
653,Northwest Georgia,No,30720,3513,ZCTA,ZCTA5 30720,9286,528,648,232,7,2.5,2780,428,29.9,4.3,3920,442,42.2,4.1,1938,316,20.9,3.2,0.880092043202869,0.0124148944813033
654,Northwest Georgia,No,30721,3514,ZCTA,ZCTA5 30721,18082,512,1070,261,5.9,1.4,5829,538,32.2,2.8,6349,582,35.1,3.1,4834,609,26.7,3.3,1.68927565182013,0.0317254281548681
655,Northwest Georgia,No,30725,3515,ZCTA,ZCTA5 30725,1557,199,78,66,5,4.2,356,153,22.9,9.4,746,166,47.9,8.8,377,137,24.2,8.2,0.394402683838393,0.00380982157998225
656,Heart of Georgia Altamaha,No,31560,3731,ZCTA,ZCTA5 31560,964,107,38,37,3.9,3.9,296,97,30.7,9.5,451,99,46.8,8.8,179,67,18.6,6.7,1.28705305292963,0.0338886120397987
657,Coastal Regional Commission,No,31561,3732,ZCTA,ZCTA5 31561,30,35,0,18,0,61.3,13,25,43.3,65,0,18,0,61.3,17,40,56.7,114.5,0.345175494713746,0.00217160290741641
658,Southern Georgia,No,31562,3733,ZCTA,ZCTA5 31562,759,124,0,18,0,2.4,208,94,27.4,11.5,392,116,51.6,12.7,159,87,20.9,11,1.7616408974984,0.0261647036189719
659,Heart of Georgia Altamaha,No,31563,3734,ZCTA,ZCTA5 31563,519,99,34,26,6.6,4.9,145,55,27.9,9.1,145,59,27.9,10,195,83,37.6,14.3,1.55424070794216,0.0276824439479713
660,Coastal Regional Commission,No,31565,3735,ZCTA,ZCTA5 31565,898,142,118,73,13.1,7.8,147,79,16.4,8.4,399,124,44.4,11.9,234,89,26.1,9,1.62909341997817,0.0362870382927022
661,ARC / GM,Yes,30518,3414,ZCTA,ZCTA5 30518,16974,586,671,201,4,1.2,4100,456,24.2,2.6,7906,635,46.6,3.4,4297,411,25.3,2.3,0.582432007984937,0.0118878244279714
662,CRC / SG,No,31566,3736,ZCTA,ZCTA5 31566,1557,220,77,58,4.9,3.6,522,165,33.5,9.5,464,171,29.8,10.1,494,180,31.7,10.7,1.01230940921039,0.0157018800924931
663,ARC / GM,Yes,30519,3415,ZCTA,ZCTA5 30519,14477,684,348,191,2.4,1.3,3182,613,22,4.1,6625,756,45.8,4.8,4322,642,29.9,4.2,0.716828539499362,0.00874127263793015
664,Southern Georgia,No,31567,3737,ZCTA,ZCTA5 31567,298,133,0,18,0,6.2,61,48,20.5,13.1,212,135,71.1,32.1,25,38,8.4,12.3,0.601554515868994,0.0105595271678146
665,Georgia Mountains,No,30520,3416,ZCTA,ZCTA5 30520,1835,259,60,49,3.3,2.7,653,184,35.6,8.7,456,128,24.9,6,666,199,36.3,9.6,0.862273906598214,0.0146046260370156
666,Coastal Regional Commission,No,31568,3738,ZCTA,ZCTA5 31568,306,97,21,26,6.9,8.3,61,44,19.9,13.1,59,47,19.3,14.2,165,92,53.9,24.8,1.51458417346948,0.0323039489720476
667,Georgia Mountains,No,30521,3417,ZCTA,ZCTA5 30521,1781,215,50,35,2.8,2,408,135,22.9,7.1,656,165,36.8,8.1,667,168,37.5,8.3,1.58522687678828,0.0242123755784547
668,Coastal Regional Commission,No,31569,3739,ZCTA,ZCTA5 31569,2063,181,65,48,3.2,2.3,491,131,23.8,6,816,148,39.6,6.3,691,133,33.5,5.8,1.13997619714803,0.0169794846869564
669,Northwest Georgia,No,30522,3418,ZCTA,ZCTA5 30522,449,96,19,31,4.2,6.8,145,77,32.3,15.8,170,92,37.9,18.8,115,78,25.6,16.4,1.16198645291573,0.0115820221650246
670,Southern Georgia,No,31601,3740,ZCTA,ZCTA5 31601,11517,408,1812,285,15.7,2.4,4807,527,41.7,4.3,3380,390,29.3,3.2,1518,250,13.2,2.1,1.19201033360086,0.0385543901894085
671,Georgia Mountains,No,30523,3419,ZCTA,ZCTA5 30523,5017,298,277,136,5.5,2.7,1448,241,28.9,4.5,1604,211,32,3.7,1688,273,33.6,5.1,1.49532106425733,0.0445919174808501
672,Southern Georgia,No,31602,3741,ZCTA,ZCTA5 31602,13462,543,1134,270,8.4,2,5217,473,38.8,3.1,4924,525,36.6,3.6,2187,379,16.2,2.7,0.876042400812244,0.0101059100583279
673,Georgia Mountains,No,30525,3420,ZCTA,ZCTA5 30525,3212,197,181,87,5.6,2.7,1088,172,33.9,4.9,1254,192,39,5.5,689,126,21.5,3.7,2.19751598756344,0.0531200401438447
674,Southern Georgia,No,31605,3742,ZCTA,ZCTA5 31605,8213,384,157,81,1.9,1,2434,327,29.6,3.7,3939,473,48,5.3,1683,304,20.5,3.6,0.765823964470623,0.0131970519591977
675,Georgia Mountains,Yes,30527,3421,ZCTA,ZCTA5 30527,1562,150,103,62,6.6,3.9,212,91,13.6,5.7,628,138,40.2,7.9,619,119,39.6,6.6,0.458407470558328,0.0064772450988215
676,Southwest Georgia,No,39815,3855,ZCTA,ZCTA5 39815,664,105,28,21,4.2,3.1,245,72,36.9,9.1,240,79,36.1,10.5,151,60,22.7,8.3,0.683398644094708,0.0125684253948974
677,Southern Georgia,No,31606,3743,ZCTA,ZCTA5 31606,1251,151,94,55,7.5,4.3,275,95,22,7.1,595,130,47.6,8.6,287,106,22.9,8,0.706173259544547,0.0108607643652883
678,Georgia Mountains,No,30528,3422,ZCTA,ZCTA5 30528,9598,495,178,110,1.9,1.1,2852,447,29.7,4.4,3565,490,37.1,4.7,3003,408,31.3,3.9,1.56164640743761,0.0457085299505413
679,Southern Georgia,No,31620,3744,ZCTA,ZCTA5 31620,3882,246,322,130,8.3,3.3,1462,273,37.7,6.6,1185,214,30.5,5.2,913,180,23.5,4.4,1.33617860733322,0.0312293566466746
680,GM / NE,No,30529,3423,ZCTA,ZCTA5 30529,4208,289,296,145,7,3.4,1343,304,31.9,6.9,1644,206,39.1,4.1,925,148,22,3.2,0.965180661986393,0.0131907630663293
681,Southwest Georgia,No,39817,3856,ZCTA,ZCTA5 39817,3841,298,305,107,7.9,2.7,1478,275,38.5,6.5,1237,250,32.2,6,821,205,21.4,5.1,1.60294712548453,0.0372953910238781
682,Southern Georgia,No,31622,3745,ZCTA,ZCTA5 31622,797,106,40,27,5,3.3,295,78,37,8.4,294,91,36.9,10.4,168,54,21.1,6.2,1.08054554997087,0.0273518613433275
683,HOGA / SG,No,31510,3697,ZCTA,ZCTA5 31510,3369,193,218,92,6.5,2.7,1107,197,32.9,5.5,1147,213,34,6,897,173,26.6,4.9,1.83369897341348,0.0559770156609166
684,Southern Georgia,No,31623,3746,ZCTA,ZCTA5 31623,35,21,0,18,0,52.5,15,16,42.9,37.1,15,12,42.9,24.2,5,30,14.3,85.7,0.0643864886602491,0.000217576095885058
685,Southern Georgia,No,31512,3698,ZCTA,ZCTA5 31512,816,215,62,80,7.6,9.6,178,86,21.8,8.8,418,178,51.2,17.1,158,99,19.4,11,0.918197951109754,0.0200690047820373
686,Southwest Georgia,No,39819,3857,ZCTA,ZCTA5 39819,4032,293,327,168,8.1,4.1,1544,269,38.3,6.1,1572,319,39,7.4,589,161,14.6,3.8,1.33657235612869,0.0400275205177167
687,Southern Georgia,No,31624,3747,ZCTA,ZCTA5 31624,476,78,20,23,4.2,4.8,134,65,28.2,12.9,167,54,35.1,9.8,155,75,32.6,14.8,1.12382626017237,0.0196549449489064
688,Heart of Georgia Altamaha,No,31513,3699,ZCTA,ZCTA5 31513,5819,326,496,145,8.5,2.5,1950,284,33.5,4.5,2081,297,35.8,4.7,1292,237,22.2,3.9,2.00161269863872,0.0824553530391965
689,Southern Georgia,No,31625,3748,ZCTA,ZCTA5 31625,398,115,9,20,2.3,4.9,192,126,48.2,28.4,98,73,24.6,16.9,99,69,24.9,15.7,0.905894087321014,0.0148396219730144
690,Southern Georgia,No,31516,3700,ZCTA,ZCTA5 31516,5418,293,242,120,4.5,2.2,1498,310,27.6,5.5,2358,309,43.5,5.2,1320,268,24.4,4.8,1.68399045000314,0.040390566170782
691,SG / SW,No,31626,3749,ZCTA,ZCTA5 31626,1509,138,117,98,7.8,6.4,476,109,31.5,6.6,505,113,33.5,6.9,411,104,27.2,6.4,1.1097692689241,0.0352024378311472
692,HOGA / SG,No,31518,3701,ZCTA,ZCTA5 31518,325,78,34,44,10.5,13.3,85,46,26.2,12.7,126,50,38.8,12.3,80,43,24.6,12,0.785873393960818,0.0115029083896135
693,Southwest Georgia,No,39823,3858,ZCTA,ZCTA5 39823,2963,183,295,108,10,3.6,1006,172,34,5.4,821,144,27.7,4.6,841,174,28.4,5.6,2.45434902050555,0.0865085019425118
694,Southern Georgia,No,31627,3750,ZCTA,ZCTA5 31627,114,33,11,12,9.6,10.2,45,26,39.5,20.2,41,18,36,12.4,17,24,14.9,20.7,0.0996877021071412,0.000216149027235193
695,HOGA / SG,No,31519,3702,ZCTA,ZCTA5 31519,1387,174,71,48,5.1,3.4,753,171,54.3,10.3,344,91,24.8,5.8,219,83,15.8,5.7,1.37398100878298,0.0336686129951947
696,RV / SW,No,39824,3859,ZCTA,ZCTA5 39824,245,79,6,8,2.4,3,92,57,37.6,20.1,110,69,44.9,24,37,33,15.1,12.7,1.18788104125844,0.0139147484311972
697,Southern Georgia,No,31629,3751,ZCTA,ZCTA5 31629,294,120,6,18,2,6,36,45,12.2,14.4,102,69,34.7,18.5,150,91,51,23,0.687991721005515,0.0107971194349624
698,Coastal Regional Commission,No,31520,3703,ZCTA,ZCTA5 31520,9070,488,1474,320,16.3,3.4,4030,469,44.4,4.6,2410,414,26.6,4.3,1156,249,12.7,2.7,0.425589954442239,0.00455361782084989
699,Southwest Georgia,No,39825,3860,ZCTA,ZCTA5 39825,530,154,63,66,11.9,11.9,131,70,24.7,11.2,158,77,29.8,11.7,178,83,33.6,12.2,1.3483122109883,0.0254932022940622
700,Southern Georgia,No,31630,3752,ZCTA,ZCTA5 31630,157,71,21,22,13.4,12.4,23,21,14.6,11.3,39,24,24.8,10.4,74,63,47.1,33.7,1.48401114537797,0.0222951532923072
701,Coastal Regional Commission,No,31522,3704,ZCTA,ZCTA5 31522,7622,342,216,83,2.8,1.1,2540,312,33.3,3.8,3389,361,44.5,4.3,1477,231,19.4,2.9,0.871689405661824,0.0176843440583483
702,Southwest Georgia,No,39826,3861,ZCTA,ZCTA5 39826,203,56,32,22,15.8,9.7,46,26,22.7,11.3,57,24,28.1,9,68,45,33.5,20.4,0.583071584789712,0.0052560671439778
703,Southern Georgia,No,31631,3753,ZCTA,ZCTA5 31631,182,47,21,20,11.5,10.4,60,31,33,15,40,27,22,13.9,61,42,33.5,21.6,2.64140759347587,0.0305317505796434
704,Coastal Regional Commission,No,31523,3705,ZCTA,ZCTA5 31523,5412,354,114,86,2.1,1.6,1375,323,25.4,5.7,2180,379,40.3,6.5,1743,369,32.2,6.5,1.48403853401402,0.0485842688310601
705,Southwest Georgia,No,39827,3862,ZCTA,ZCTA5 39827,1489,175,65,58,4.4,3.8,358,145,24,9.3,560,138,37.6,8.1,506,158,34,9.8,0.835339472725029,0.0147068624657569
706,Southern Georgia,No,31632,3754,ZCTA,ZCTA5 31632,4625,304,32,33,0.7,0.7,1002,236,21.7,4.9,2399,363,51.9,7.1,1192,244,25.8,5,1.32669933096153,0.0278027941881028
707,Coastal Regional Commission,No,31524,3706,ZCTA,ZCTA5 31524,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.112463863286387,0.000420021491227908
708,Southern Georgia,No,31634,3755,ZCTA,ZCTA5 31634,2100,137,202,83,9.6,3.9,780,173,37.1,7.9,707,164,33.7,7.5,411,136,19.6,6.3,2.60489286458984,0.0699065197035853
709,Southern Georgia,No,31635,3756,ZCTA,ZCTA5 31635,2360,255,249,110,10.6,4.5,660,216,28,8.6,919,233,38.9,8.9,532,193,22.5,7.8,1.64667833257528,0.0296993452127467
710,Southwest Georgia,No,39828,3863,ZCTA,ZCTA5 39828,5301,290,429,168,8.1,3.1,1946,336,36.7,6,2006,263,37.8,4.5,920,210,17.4,3.8,1.29812198275742,0.0343079752944284
711,Southern Georgia,No,31636,3757,ZCTA,ZCTA5 31636,4088,287,262,158,6.4,3.8,1379,239,33.7,5.4,1200,203,29.4,4.5,1247,243,30.5,5.5,1.72643124932716,0.0495406699499082
712,Southwest Georgia,No,39834,3864,ZCTA,ZCTA5 39834,872,157,91,91,10.4,10.3,198,78,22.7,7.9,377,110,43.2,9.9,206,78,23.6,7.9,1.18803358516875,0.029762804280832
713,SG / SW,No,31637,3758,ZCTA,ZCTA5 31637,1097,144,77,48,7,4.3,326,83,29.7,6.5,429,93,39.1,6.8,265,85,24.2,7,0.984219458090792,0.0197375496811678
714,River Valley,No,39836,3865,ZCTA,ZCTA5 39836,88,41,0,18,0,20.9,0,18,0,20.9,73,65,83,63,15,32,17,35.3,0.731534168707042,0.0190770477965159
715,Southern Georgia,No,31638,3759,ZCTA,ZCTA5 31638,464,148,11,9,2.4,1.9,196,92,42.2,14.6,151,88,32.5,15.8,106,75,22.8,14.4,0.548376825895338,0.00669235109447287
716,Southern Georgia,No,31639,3760,ZCTA,ZCTA5 31639,3997,184,463,151,11.6,3.7,1481,256,37.1,6.2,1217,206,30.4,5,836,190,20.9,4.6,1.54022158733118,0.0546358197047204
717,Southwest Georgia,No,39837,3866,ZCTA,ZCTA5 39837,2591,182,286,93,11,3.5,909,156,35.1,5.5,706,122,27.2,4.3,690,130,26.6,4.6,1.52976337724419,0.0697633412551018
718,River Valley,No,39840,3867,ZCTA,ZCTA5 39840,1918,224,240,114,12.5,5.7,794,198,41.4,9.1,553,166,28.8,8,331,136,17.3,6.8,1.5819798781085,0.0523307192977321
719,Southwest Georgia,No,39841,3868,ZCTA,ZCTA5 39841,339,83,75,44,22.1,11.8,123,63,36.3,16.2,110,37,32.4,7.4,31,33,9.1,9.3,0.841768147943775,0.0166097989347594
720,Southwest Georgia,No,39842,3869,ZCTA,ZCTA5 39842,2951,164,341,105,11.6,3.5,1173,186,39.7,5.9,958,128,32.5,4,479,115,16.2,3.8,2.20172849976259,0.0702948023972198
721,Southwest Georgia,No,39845,3870,ZCTA,ZCTA5 39845,3016,200,337,114,11.2,3.7,1088,168,36.1,5,772,139,25.6,4.3,819,171,27.2,5.4,1.63293925387267,0.05234068551514
722,RV / SW,No,39846,3871,ZCTA,ZCTA5 39846,790,121,56,37,7.1,4.5,325,91,41.1,9.6,217,72,27.5,8,192,70,24.3,8.1,1.02000885286087,0.0213801667968449
723,River Valley,No,39851,3872,ZCTA,ZCTA5 39851,870,135,120,50,13.8,5.3,340,97,39.1,9.4,288,101,33.1,10.4,122,62,14,6.8,1.28046496566028,0.03511398461002
724,River Valley,No,39854,3873,ZCTA,ZCTA5 39854,869,94,87,48,10,5.4,309,83,35.6,8.7,296,76,34.1,7.9,177,57,20.4,6.2,1.18613839564192,0.0344645381925072
725,Southwest Georgia,No,39859,3874,ZCTA,ZCTA5 39859,414,93,5,15,1.2,3.6,156,76,37.7,16.2,127,49,30.7,9.7,126,62,30.4,13.3,0.757751078740668,0.0144727904988772
726,Southwest Georgia,No,39861,3875,ZCTA,ZCTA5 39861,514,83,90,77,17.5,14.6,194,62,37.7,10.4,134,42,26.1,7,96,52,18.7,9.6,0.720167749253365,0.0131513540332447
727,Southwest Georgia,No,39862,3876,ZCTA,ZCTA5 39862,496,82,43,29,8.7,5.7,168,57,33.9,10.1,154,52,31,9.3,131,51,26.4,9.3,1.55701864391375,0.0368280232206611
728,Coastal Regional Commission,No,31327,3680,ZCTA,ZCTA5 31327,153,129,0,18,0,12,60,67,39.2,29,22,32,14.4,16.9,71,109,46.4,59.5,0.589930410284812,0.0127090827346214
729,Coastal Regional Commission,No,31328,3681,ZCTA,ZCTA5 31328,1459,144,21,25,1.4,1.7,617,161,42.3,10.2,513,131,35.2,8.3,308,111,21.1,7.3,0.255541451660846,0.00159531866912513
730,Coastal Regional Commission,No,31329,3682,ZCTA,ZCTA5 31329,3575,305,74,61,2.1,1.7,1048,249,29.3,6.5,1496,232,41.8,5.4,957,218,26.8,5.7,1.33633859346979,0.0263523712666515
731,Coastal Regional Commission,No,31331,3683,ZCTA,ZCTA5 31331,3486,299,151,100,4.3,2.8,937,261,26.9,7.1,1279,275,36.7,7.2,1119,297,32.1,8.1,2.36003590693043,0.0800849389191094
732,Atlanta Regional Commission,Yes,30152,3243,ZCTA,ZCTA5 30152,15093,476,219,118,1.5,0.8,3905,536,25.9,3.5,7152,648,47.4,4,3817,456,25.3,2.9,0.633172209688883,0.00538615101162319
733,Northwest Georgia,Partial,30153,3244,ZCTA,ZCTA5 30153,6476,508,368,182,5.7,2.8,2011,448,31.1,6.5,2289,480,35.3,6.9,1808,371,27.9,5.3,1.36794479732632,0.0303616153259163
734,ARC / NW,Yes,30157,3245,ZCTA,ZCTA5 30157,16443,730,258,133,1.6,0.8,3988,528,24.3,3,7207,673,43.8,3.6,4990,665,30.3,3.8,1.5123543696021,0.0215911737926762
